rho,mean_velocity,N,L,v0_std
0.23121387283236994,1.2134438727086911,4.0,17.3,0.05
0.40462427745664736,1.1884045259731328,7.0,17.3,0.05
0.6358381502890174,1.1606269746443865,11.0,17.3,0.05
0.8092485549132947,0.9357393117955085,14.0,17.3,0.05
1.0404624277456647,0.5904267127237582,18.0,17.3,0.05
1.2138728323699421,0.44123782232085335,21.0,17.3,0.05
1.445086705202312,0.30886610923547975,25.0,17.3,0.05
1.6184971098265895,0.23730895350986367,28.0,17.3,0.05
1.8497109826589595,0.16432661865676393,32.0,17.3,0.05
2.0231213872832368,0.12137724913685849,35.0,17.3,0.05
2.1965317919075145,0.0855739388882469,38.0,17.3,0.05
2.4277456647398843,0.04615005384150508,42.0,17.3,0.05
0.25,1.2196730829618943,5.0,20.0,0.05
0.45,1.169957594613958,9.0,20.0,0.05
0.65,1.1474970069138488,13.0,20.0,0.05
0.85,0.849494216170472,17.0,20.0,0.05
1.05,0.5778993752638603,21.0,20.0,0.05
1.25,0.4175539833262181,25.0,20.0,0.05
1.45,0.30663391467934176,29.0,20.0,0.05
1.65,0.22619106541353629,33.0,20.0,0.05
1.85,0.16447460722249438,37.0,20.0,0.05
2.05,0.11558447497720219,41.0,20.0,0.05
2.25,0.07579331642654852,45.0,20.0,0.05
2.45,0.0427976912471364,49.0,20.0,0.05
0.24,1.2093407192089887,12.0,50.0,0.05
0.44,1.1737946878912682,22.0,50.0,0.05
0.64,1.1598776093934748,32.0,50.0,0.05
0.84,0.8738053826623379,42.0,50.0,0.05
1.04,0.5976087731741122,52.0,50.0,0.05
1.24,0.43384462797608725,62.0,50.0,0.05
1.44,0.32075939942264703,72.0,50.0,0.05
1.64,0.2366835519511599,82.0,50.0,0.05
1.84,0.1721790514044569,92.0,50.0,0.05
2.04,0.12075817547476038,102.0,50.0,0.05
2.24,0.0790075954401814,112.0,50.0,0.05
2.44,0.04480590756197555,122.0,50.0,0.05
