rho,mean_velocity,N,L,v0_std
0.23121387283236994,1.2243886161176247,4.0,17.3,0.01
0.40462427745664736,1.2395156400960714,7.0,17.3,0.01
0.6358381502890174,1.2205743170274854,11.0,17.3,0.01
0.8092485549132947,0.9184427852651776,14.0,17.3,0.01
1.0404624277456647,0.5886497485145316,18.0,17.3,0.01
1.2138728323699421,0.44084517432292714,21.0,17.3,0.01
1.445086705202312,0.3093779593062492,25.0,17.3,0.01
1.6184971098265895,0.23728139108615384,28.0,17.3,0.01
1.8497109826589595,0.16445392006301587,32.0,17.3,0.01
2.0231213872832368,0.12138456994205254,35.0,17.3,0.01
2.1965317919075145,0.08555711835769715,38.0,17.3,0.01
2.4277456647398843,0.04614622632936708,42.0,17.3,0.01
0.23121387283236994,1.197797241415668,4.0,17.3,0.05
0.40462427745664736,1.1587374895398774,7.0,17.3,0.05
0.6358381502890174,1.1637909211052886,11.0,17.3,0.05
0.8092485549132947,0.9408447236751063,14.0,17.3,0.05
1.0404624277456647,0.5887177005914105,18.0,17.3,0.05
1.2138728323699421,0.44116020049369503,21.0,17.3,0.05
1.445086705202312,0.3090794818564943,25.0,17.3,0.05
1.6184971098265895,0.2372508889467375,28.0,17.3,0.05
1.8497109826589595,0.1643402439872793,32.0,17.3,0.05
2.0231213872832368,0.12140179628569452,35.0,17.3,0.05
2.1965317919075145,0.08556369742207481,38.0,17.3,0.05
2.4277456647398843,0.04614191461722469,42.0,17.3,0.05
0.23121387283236994,1.111230997376597,4.0,17.3,0.1
0.40462427745664736,1.0693548728522362,7.0,17.3,0.1
0.6358381502890174,1.0912008197000893,11.0,17.3,0.1
0.8092485549132947,0.9245965397060001,14.0,17.3,0.1
1.0404624277456647,0.5876698853757159,18.0,17.3,0.1
1.2138728323699421,0.4438082458429704,21.0,17.3,0.1
1.445086705202312,0.3093045007459457,25.0,17.3,0.1
1.6184971098265895,0.23744004521998474,28.0,17.3,0.1
1.8497109826589595,0.16445425063314045,32.0,17.3,0.1
2.0231213872832368,0.12142890112191136,35.0,17.3,0.1
2.1965317919075145,0.08557549120880836,38.0,17.3,0.1
2.4277456647398843,0.04614765131686851,42.0,17.3,0.1
