rho,mean_velocity,N,L,v0_std,a,b,tau
0.3468208092485549,1.068398087681578,6.0,17.3,0.05,0.3,0.56,0.61
0.5202312138728323,0.8629665103514419,9.0,17.3,0.05,0.3,0.56,0.61
0.7514450867052023,0.71734912239859,13.0,17.3,0.05,0.3,0.56,0.61
0.9826589595375722,0.5327004562965525,17.0,17.3,0.05,0.3,0.56,0.61
1.2138728323699421,0.45212822512503353,21.0,17.3,0.05,0.3,0.56,0.61
1.445086705202312,0.3343621508012026,25.0,17.3,0.05,0.3,0.56,0.61
1.676300578034682,0.3030781840373862,29.0,17.3,0.05,0.3,0.56,0.61
1.8497109826589595,0.23934496863365246,32.0,17.3,0.05,0.3,0.56,0.61
2.0809248554913293,0.18582334030733205,36.0,17.3,0.05,0.3,0.56,0.61
2.312138728323699,0.1332475988219378,40.0,17.3,0.05,0.3,0.56,0.61
0.3468208092485549,1.1221324182129906,6.0,17.3,0.05,0.36,0.56,0.61
0.5202312138728323,0.8603637729711977,9.0,17.3,0.05,0.36,0.56,0.61
0.7514450867052023,0.6413326942253267,13.0,17.3,0.05,0.36,0.56,0.61
0.9826589595375722,0.5558565651527024,17.0,17.3,0.05,0.36,0.56,0.61
1.2138728323699421,0.4120144518658842,21.0,17.3,0.05,0.36,0.56,0.61
1.445086705202312,0.34971727830322247,25.0,17.3,0.05,0.36,0.56,0.61
1.676300578034682,0.23693200404480036,29.0,17.3,0.05,0.36,0.56,0.61
1.8497109826589595,0.189616610594358,32.0,17.3,0.05,0.36,0.56,0.61
2.0809248554913293,0.1211481155862207,36.0,17.3,0.05,0.36,0.56,0.61
2.312138728323699,0.06766138770665246,40.0,17.3,0.05,0.36,0.56,0.61
0.3468208092485549,1.1360920070526708,6.0,17.3,0.05,0.42,0.56,0.61
0.5202312138728323,0.9781696521661054,9.0,17.3,0.05,0.42,0.56,0.61
0.7514450867052023,0.6823579011614329,13.0,17.3,0.05,0.42,0.56,0.61
0.9826589595375722,0.5201404148938769,17.0,17.3,0.05,0.42,0.56,0.61
1.2138728323699421,0.38840884730481257,21.0,17.3,0.05,0.42,0.56,0.61
1.445086705202312,0.30625575509755554,25.0,17.3,0.05,0.42,0.56,0.61
1.676300578034682,0.1764554846616085,29.0,17.3,0.05,0.42,0.56,0.61
1.8497109826589595,0.11640867513888012,32.0,17.3,0.05,0.42,0.56,0.61
2.0809248554913293,0.0549831255339612,36.0,17.3,0.05,0.42,0.56,0.61
2.312138728323699,0.011047676120043518,40.0,17.3,0.05,0.42,0.56,0.61
